conflict_id,conflict_type,severity,normalized_text,entity_types,document_ids,accepted_count,rejected_count,details,recommended_action
e8077085785d,unstable_policy_evidence,warning,chỉ số huyết áp tâm thu,[],"[""5""]",0,1,Vital sign name; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
ddebce0d2af8,unstable_policy_evidence,warning,chọc hút,[],"[""8""]",0,1,Too short/generic here; strict v0 keeps the full abnormal result phrase.,keep_out_of_automatic_runtime_policy
3902324eb9d2,unstable_policy_evidence,warning,chụp cộng hưởng từ mật tụy tụi mật,[],"[""4""]",0,1,Noisy typo-expanded imaging phrase; strict v0 keeps only chụp cộng hưởng từ mật tụy.,keep_out_of_automatic_runtime_policy
e6cccd419375,unstable_policy_evidence,warning,có khả năng,[],"[""51""]",0,1,"Uncertainty cue for URI, but strict Phase 1 assertion set used here does not encode uncertainty.",keep_out_of_automatic_runtime_policy
b0bd124201d9,unstable_policy_evidence,warning,da niêm mạc hồngi,[],"[""94""]",0,1,"Likely normal/typo mucosa description, not a strict pathological entity.",keep_out_of_automatic_runtime_policy
1fcd5e641154,unstable_policy_evidence,warning,dấu hiệu sinh tồn,[],"[""91""]",0,1,Vital-sign section header and raw vital signs remain review-only in strict v0.,keep_out_of_automatic_runtime_policy
4b3eaa1e7147,unstable_policy_evidence,warning,dấu hiệu sinh tồn,[],"[""97""]",0,1,Vital-sign context remains review-only in strict v0.,keep_out_of_automatic_runtime_policy
eb2eb3524421,unstable_policy_evidence,warning,giãn bể thận,[],"[""9""]",0,1,"Could be a negated diagnosis, but strict v0 keeps the full negative imaging result to avoid unsafe ICD assignment.",keep_out_of_automatic_runtime_policy
e626a58ece1b,unstable_policy_evidence,warning,ho,[],"[""7""]",0,1,Likely noisy translated prefix before Rối loạn cảm xúc; not a stable symptom mention.,keep_out_of_automatic_runtime_policy
883f0bdbe138,unstable_policy_evidence,warning,huyết áp 159/72,[],"[""3""]",0,1,Vital sign; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
20c3572ff416,unstable_policy_evidence,warning,huyết áp/mạch/nhiệt độ/nhịp thở/spo2,[],"[""94""]",0,1,Vital signs remain review-only under current manual-gold policy.,keep_out_of_automatic_runtime_policy
078f31154532,unstable_policy_evidence,warning,khó thở,[],"[""1""]",0,1,Duplicate translation artifact in 'Khó thở nhẹ khó thở'; strict v0 keeps only 'Khó thở nhẹ'.,keep_out_of_automatic_runtime_policy
6bfee0a16b27,unstable_policy_evidence,warning,không nhớ bị đánh trống ngực chóng mặt,[],"[""44""]",0,1,"Memory uncertainty, not a strict negation cue.",keep_out_of_automatic_runtime_policy
49e6f6bb2eb2,unstable_policy_evidence,warning,mạch 83,[],"[""3""]",0,1,Vital sign; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
bfeb270abd14,unstable_policy_evidence,warning,nghi ngờ,[],"[""12""]",0,1,"Uncertainty cue, not an entity and not mapped to isNegated.",keep_out_of_automatic_runtime_policy
3ee7766ed49b,unstable_policy_evidence,warning,ngã,[],"[""35""]",0,1,Likely duplicate/artifact after the fuller Nhiều lần ngã gần đây span.,keep_out_of_automatic_runtime_policy
5d5650492596,unstable_policy_evidence,warning,nhịp thở 20,[],"[""3""]",0,1,Vital sign; keep review-only until vital sign policy is fixed.,keep_out_of_automatic_runtime_policy
544d6d844d88,unstable_policy_evidence,warning,sau cân sau phẫu thuật,[],"[""26""]",0,1,Noisy phrase without a stable entity boundary.,keep_out_of_automatic_runtime_policy
e67d05d4cad4,unstable_policy_evidence,warning,siêu âm tim qua thành ngực,[],"[""1""]",0,1,Planned future test; strict v0 excludes until guideline decision.,keep_out_of_automatic_runtime_policy
c1734fd50e00,unstable_policy_evidence,warning,spo2 độ bão hòa oxy 94-95 ra,[],"[""3""]",0,1,Vital sign/oxygen saturation; keep review-only until policy is fixed.,keep_out_of_automatic_runtime_policy
f99b3be33edb,unstable_policy_evidence,warning,tem,[],"[""10""]",0,1,Unclear abbreviation; not annotated until expansion is known.,keep_out_of_automatic_runtime_policy
b91b3d3e5323,unstable_policy_evidence,warning,temperate đến tmax 102,[],"[""38""]",0,1,Noisy temperature wording; strict v0 keeps the fever symptom only.,keep_out_of_automatic_runtime_policy
e78dd8e87673,unstable_policy_evidence,warning,thay đổi sóng t,[],"[""3""]",0,1,Noisy duplicate after the stricter ECG waveform finding span.,keep_out_of_automatic_runtime_policy
f82374852322,unstable_policy_evidence,warning,trầm cảm,[],"[""7""]",0,1,Nested inside Rối loạn cảm xúc (trầm cảm); strict v0 keeps the full phrase.,keep_out_of_automatic_runtime_policy
bcafc26c2257,unstable_policy_evidence,warning,té ngã,[],"[""3""]",0,1,Event after syncope; guideline for fall injury/event is not yet stable.,keep_out_of_automatic_runtime_policy
da66b6b1584c,unstable_policy_evidence,warning,vs98.3 12987 56 18 99ra,[],"[""1""]",0,1,Densely concatenated vital signs; skip until a stable split guideline exists.,keep_out_of_automatic_runtime_policy
04bb4706c846,unstable_policy_evidence,warning,xỉu trước,[],"[""3""]",0,1,Noisy translated phrase; review separately from strict syncope spans.,keep_out_of_automatic_runtime_policy
201b5971110f,unstable_policy_evidence,warning,đái tháo đườngđái tháo đường,[],"[""35""]",0,1,Noisy urinalysis result retained as KẾT_QUẢ_XÉT_NGHIỆM but not mapped to diabetes ICD.,keep_out_of_automatic_runtime_policy
094fb85e609d,unstable_policy_evidence,warning,đánh giá thần kinh,[],"[""7""]",0,1,Clinical evaluation; not clearly a Phase 1 test name.,keep_out_of_automatic_runtime_policy
ec70f18baf52,unstable_policy_evidence,warning,đột sống thắt lưng,[],"[""7""]",0,1,Parenthetical synonym for chọc dò dịch não tủy; strict v0 avoids duplicate.,keep_out_of_automatic_runtime_policy
